handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,packageLength,packageWidth,packageHeight,packageUnit,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_a636e922-3414-4bce-916e-1b5ea337fec7,PRODUCT,Атрибуты Русских Богов,false,"<p>В этой книге Автор описывает атрибуты русских Богов, даты контакта с богами их функций.</p>",,,,,,,80,,,,,,0,IN_STOCK,false,,,978-5-91898-003-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_a636e922-3414-4bce-916e-1b5ea337fec7,MEDIA,,,,,,53e401_3535d2b9cd034911afc1f3a91adea004~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7a2d6324-58a7-46ab-b2e8-f70a3e24f718,PRODUCT,Арканы Божественых Событий,false,,,,,,,,0,,,,,,0,OUT_OF_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7a2d6324-58a7-46ab-b2e8-f70a3e24f718,MEDIA,,,,,,53e401_d888df9d115a4d2dace7296f679988b6~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e1fdab4f-de4b-4758-9e3f-aeb80b4fac58,PRODUCT,Бабы Яги - Кто Они,true,"<p>Рукописи не горят. Ничто и никогда не исчезает бесследно. Такие мысли сразу приходят на память после прочтения этой книги. Что было, то и будет, русская волшебная культура не умерла и не может умереть, даже если останется только один ее представитель. Не дайте ей исчезнуть, берегите ее, дополняйте утраченным, передавайте другим- в этом залог ее сохранения.Книга посвящена описанию техник достижения чудесных вещей, которые с корнем вырваны и продолжают искореняться из русской волшебной культуры. Но есть надежда, что это лишь начало исследования, если продолжится диалог с настоящими носителями исчезающей культуры.Книга расчитана на всех, кто пытается приблизится к источнику волшебных знаний.&nbsp;&nbsp;</p>",в-поисках-сокровенного;рекомендованные-для-учащихся-шж,,,,,,1500,,,,,,,IN_STOCK,false,,,978-5-91898-002-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e1fdab4f-de4b-4758-9e3f-aeb80b4fac58,MEDIA,,,,,,53e401_94910f4618be4db0afac36246e4168fe~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_edb13645-0bb8-4a5e-9086-3a73bdded012,PRODUCT,Волхвы,true,"<p>Все люди по своей природе продолжают оставаться&nbsp;<span style=""font-weight: 700"">богами</span>, хотя и лишены памяти о своих прошлых - божественных воплощениях. Их высокие достижения были обусловлены нашей древней религией - православием и нашей древней верой - правоверием, канувшим в Лету, как и все былое могущество наших предков. О них и пойдет речь в предлагаемой работе.</p>",в-поисках-сокровенного;рекомендованные-для-учащихся-шж,,,,,,800,,,,,,,IN_STOCK,false,,,978-59024-4405-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_edb13645-0bb8-4a5e-9086-3a73bdded012,MEDIA,,,,,,53e401_93baa23a634a4221820bf78219a0a0b8~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f90fcbe3-83c2-4064-8fa4-dcc30c2d5230,PRODUCT,Вопросы и ответы,false,"<p>Книга ""Вопросы и ответы"" посвящена наиболее часто задаваемым вопросам по ВОКК, сюда же включены отзывы читателей на книги автора серии ""В поисках сокровенного"".</p>",,,,,,,110,,,,,,0,IN_STOCK,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_f90fcbe3-83c2-4064-8fa4-dcc30c2d5230,MEDIA,,,,,,53e401_8b5018934bc5412cbb8442eb14852cfb~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7ea93617-ebfa-445c-a054-23e1ea57a6ac,PRODUCT,Встреча с Кощеем Бессмертным,true,"<p>Сегодня конечность человеческой жизни воспринимается нами как естественное, само собой разумеющееся явление. Но заложена ли смерть во внутренней биологической природе человека? Предлагаемая работа доказывает, что убеждение большинства людей в невозможности физического бессмертия есть не что иное, как исторически сложившаяся догма, родственная в уверенности в том, что ""камни с неба падать не могут, потому, что их там нет"". Физическое бессмертие индивида возможно, считает автор этой книги и лишь упорство человеческого невежества мешает людям признать эту истину.</p>",в-поисках-сокровенного,,,,,,700,,,,,,,IN_STOCK,false,,,978-5-93897-010-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_7ea93617-ebfa-445c-a054-23e1ea57a6ac,MEDIA,,,,,,53e401_922e374c20aa451a80e8f8ccbeb2f2bb~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_3cab13f5-8dc5-4008-8a86-075d23183f65,PRODUCT,Диалог Земля-Космос,true,"<p><span style=""font-weight: 700"">Новое и дополненное издание!</span></p><p>В этой книге сделана попытка ответить на вопросы, почему на земле не прекращаются войны и кризисы, почему с каждым годом, несмотря на рост производства, не происходит улучшение положения людей, а наоборот, ухудшение. Почему преследуются изобретатели эпохальных открытий, ученые, открывшие новые явления и руководители филосовских школ, реально помогающие людям устроить свою жизнь. Кто стоит за переписыванием истории и уничтожением потрясающих, выходящих из ряда вон, археологических находок. Почему так упорно нам продолжают делать прививки в детском возрасте, хотя уже давно доказана их смертельная опасность? Кто придумывает образовательные реформы, которые от столетия к столетию ведут к дебилизации населения. Куда уходят добываемые ресурсы планеты, из которых только 5% идет на нужды Человечества, а 95% канут в неизвестности. Эта книга позволяет ответить на вопросы: кто является настоящим хозяином нашей планеты, и почему&nbsp; все благие начинания людей и политиков заканчиваются крахом, а жизнь на&nbsp;Земле как ни улучшалась, так и не улучшается.&nbsp;</p>",рекомендованные-для-учащихся-шж;в-поисках-сокровенного,,,,,,1000,,,,,,,IN_STOCK,false,,,978-5-902-444-03-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_3cab13f5-8dc5-4008-8a86-075d23183f65,MEDIA,,,,,,53e401_939794e3a42442cba59333d3cfb83cb9~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_407c513d-c366-4c9b-a752-e5466df0e042,PRODUCT,Древлеправославная цивилизация,true,"<p>В этой книге изложены главные традиции древлеправославной цивилизации, собранные&nbsp;из различных источников, и частично изложенные&nbsp;автором из его работ из серии ""В поисках сокровенного"". и серии ""Русская Волшебная Культура"". Поэтому книга принадлежит одновременно двум сериям&nbsp;и рассчитана на широкий круг читателей.</p>",русская-волшебная-культура;рекомендованные-для-учащихся-шж,,,,,,800,,,,,,,IN_STOCK,false,,,976-5-91898-001-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_407c513d-c366-4c9b-a752-e5466df0e042,MEDIA,,,,,,53e401_c7ca948379ad4b5685983add4bd8f516~mv2_d_1200_1200_s_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b5419e3e-89e5-4e31-8979-a93c70b3a2dd,PRODUCT,Древлеправославный Календарь и пробелы в русской истории,false,"<p>Эта книга посвящена вопросам влияния на человека, чисел и временных промежутков, которые определяют его судъбу, удачу, процветание или, наоборот, при незнании функций чисел и временных промежутков, можно так и остаться в поле несчастий, невезения и всевожможных напастей. Все это было отражено в древлеправославном календаре, в его строении и в праздничных датах, построенного нашими предками на фундаментальной базе функций натурального ряда чисел. В процессе исследования этого календаря вскрываются очень серьездные пробелы в наших знаниях о русской культуре и истории, которые мы и попытались здесь вспомнить.</p>",рекомендованные-для-учащихся-шж;в-поисках-сокровенного,,,,,,250,,,,,,0,IN_STOCK,false,,,978-6-91898-040-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_b5419e3e-89e5-4e31-8979-a93c70b3a2dd,MEDIA,,,,,,53e401_8e5d2c7dbf3849738eec209a1be55b49~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
